id_interview,from,to
1,0,1
1,0,12
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,1
1,1,12
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,0,12
1,1,12
1,12,2
1,12,3
1,12,4
1,12,5
1,12,6
1,12,7
1,12,8
1,0,2
1,1,2
1,12,2
1,2,3
1,2,4
1,2,5
1,2,6
1,2,7
1,2,8
1,0,3
1,1,3
1,12,3
1,2,3
1,3,4
1,3,5
1,3,6
1,3,7
1,3,8
1,0,4
1,1,4
1,12,4
1,2,4
1,3,4
1,4,5
1,4,6
1,4,7
1,4,8
1,0,5
1,1,5
1,12,5
1,2,5
1,3,5
1,4,5
1,5,6
1,5,7
1,5,8
1,5,9
1,0,6
1,1,6
1,12,6
1,2,6
1,3,6
1,4,6
1,5,6
1,6,7
1,6,8
1,0,7
1,1,7
1,12,7
1,2,7
1,3,7
1,4,7
1,5,7
1,6,7
1,7,8
1,0,8
1,1,8
1,12,8
1,2,8
1,3,8
1,4,8
1,5,8
1,6,8
1,7,8
1,0,9
1,5,9
2,0,1
2,0,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,1
2,1,2
2,1,3
2,1,4
2,0,2
2,1,2
2,2,3
2,0,3
2,1,3
2,2,3
2,0,4
2,1,4
2,0,5
2,0,6
2,0,7
3,0,1
3,0,2
3,0,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,1
3,1,2
3,1,4
3,1,5
3,0,2
3,1,2
3,0,3
3,0,4
3,1,4
3,4,5
3,0,5
3,1,5
3,4,5
3,0,6
3,6,7
3,0,7
3,6,7
3,0,8
3,0,9
4,0,2
4,0,3
4,0,4
4,0,5
4,0,6
4,0,7
4,0,8
4,1,2
4,1,3
4,1,7
4,0,2
4,1,2
4,2,3
4,0,3
4,1,3
4,2,3
4,3,4
4,3,5
4,3,7
4,3,8
4,0,4
4,3,4
4,4,7
4,4,8
4,0,5
4,3,5
4,0,6
4,0,7
4,1,7
4,3,7
4,4,7
4,7,8
4,0,8
4,3,8
4,4,8
4,7,8
5,0,1
5,0,2
5,0,3
5,0,4
5,0,1
5,1,2
5,1,3
5,0,2
5,1,2
5,2,3
5,2,4
5,0,3
5,1,3
5,2,3
5,0,4
5,2,4
6,0,1
6,0,2
6,0,3
6,0,4
6,0,1
6,1,2
6,1,3
6,1,4
6,0,2
6,1,2
6,2,3
6,2,4
6,0,3
6,1,3
6,2,3
6,3,4
6,0,4
6,1,4
6,2,4
6,3,4
7,0,1
7,0,10
7,0,2
7,0,3
7,0,4
7,0,5
7,0,6
7,0,7
7,0,8
7,0,9
7,0,1
7,1,2
7,1,3
7,0,10
7,10,4
7,10,5
7,10,6
7,10,9
7,0,2
7,1,2
7,2,3
7,2,7
7,0,3
7,1,3
7,2,3
7,0,4
7,10,4
7,4,5
7,4,6
7,4,7
7,4,8
7,4,9
7,0,5
7,10,5
7,4,5
7,5,6
7,5,9
7,0,6
7,10,6
7,4,6
7,5,6
7,6,9
7,0,7
7,2,7
7,4,7
7,7,8
7,0,8
7,4,8
7,7,8
7,0,9
7,10,9
7,4,9
7,5,9
7,6,9
8,0,1
8,0,2
8,0,3
8,0,4
8,0,5
8,0,1
8,1,2
8,1,3
8,1,4
8,1,5
8,0,2
8,1,2
8,2,3
8,2,4
8,2,5
8,0,3
